Turbine_ID,Month_recorded,Section,Zone,Previous_Over_current_Trips,Lubrication_Type,New_Seal,Planned_shutdowns,Average_RPM,Asset_Age_Score,Average_Vibration_Score,Torque_rating,Bearing_Weight_Score,Insulation_Rating,Fatigue_Score,Asset_Failure
1,01.Jan,2,N,0,0,0,0,715,0,18,1,0,15,0,F
2,10.Oct,3,N,0,0,1,2,2558,200,327,3,105,48,0,T
3,10.Oct,6,N,0,1,0,4,3067,95,300,8,50,70,0,F
4,08.Aug,7,N,0,0,1,4,4222,259,472,7,109,78,1,T
5,06.Jun,8,N,0,0,0,1,6195,159,672,1,66,144,0,F
6,03.Mar,11,N,0,0,1,1,5409,135,433,3,27,128,0,F
7,08.Aug,12,N,0,0,0,5,4135,0,454,6,0,89,0,F
8,01.Jan,13,N,0,0,0,0,413,0,25,0,0,6,0,F
9,07.Jul,14,N,0,0,0,0,2982,0,3,0,0,5,0,F
10,09.Sep,19,N,0,0,0,1,1898,37,112,1,0,54,0,F
11,12.Dec,20,N,0,1,0,0,1344,3,52,0,0,49,0,F
12,08.Aug,22,N,0,0,0,0,2231,37,186,0,0,39,0,F
13,08.Aug,25,N,0,0,0,0,1756,0,47,0,0,33,0,F
14,08.Aug,28,N,1,0,0,0,1792,48,158,0,0,24,0,T
15,08.Aug,28,N,0,0,1,2,1792,48,158,3,0,24,0,F
16,07.Jul,28,N,0,0,0,0,1792,48,158,0,0,24,0,T
17,06.Jun,29,N,0,0,0,0,2435,0,0,0,0,3,0,F
18,07.Jul,30,N,0,2,0,0,2472,0,38,0,0,36,0,F
19,02.Feb,32,N,0,0,1,2,2078,0,116,3,0,38,0,F
20,10.Oct,34,E,0,0,0,0,390,0,48,0,0,6,0,F
21,04.Apr,38,E,0,0,0,0,683,0,7,0,2,5,0,F
22,12.Dec,41,E,0,0,0,0,4365,0,45,0,10,13,0,F
23,04.Apr,43,E,0,0,2,0,4917,0,24,2,0,8,0,F
24,03.Mar,44,E,2,0,6,6,5431,0,334,14,113,27,0,T
25,08.Aug,44,E,3,0,3,7,5431,0,334,10,113,27,0,T
26,08.Aug,44,E,3,0,3,7,5431,0,334,10,113,27,0,T
27,01.Jan,45,E,5,1,0,2,5004,0,332,2,30,28,0,F
28,10.Oct,46,E,0,0,3,5,3933,0,202,9,67,15,0,F
29,12.Dec,48,E,0,0,1,1,2983,0,94,2,10,5,0,F
30,05.May,50,E,0,0,0,0,786,0,8,0,1,12,0,F
31,04.Apr,51,E,0,0,0,0,598,0,2,0,0,7,0,F
32,01.Jan,52,E,1,0,1,1,3331,23,162,4,52,15,0,T
33,10.Oct,53,E,0,0,0,5,562,0,15,6,8,6,0,F
34,08.Aug,56,E,0,0,0,0,318,0,2,0,0,5,0,F
35,10.Oct,57,E,0,0,0,0,1878,18,55,0,11,22,0,F
36,04.Apr,62,E,1,0,1,2,1975,105,167,3,47,34,0,T
37,10.Oct,62,E,1,0,1,1,1975,105,167,2,47,34,0,F
38,11.Nov,63,E,0,3,0,1,2358,59,99,1,24,36,0,F
39,09.Sep,64,E,0,0,0,0,631,0,6,0,0,2,0,F
40,03.Mar,65,E,0,0,2,3,2351,0,87,6,8,24,0,F
41,01.Jan,66,E,0,0,0,0,1100,0,51,0,2,23,0,F
42,02.Feb,69,E,2,0,0,0,3891,0,644,0,32,71,0,F
43,08.Aug,70,E,0,0,1,2,3363,78,304,3,26,62,0,F
44,09.Sep,73,E,0,0,0,0,4559,0,187,0,10,72,0,F
45,12.Dec,74,E,7,7,1,7,6545,465,813,8,178,112,16.462078,T
46,10.Oct,76,E,2,0,0,1,2647,181,258,1,31,41,7.348469,F
47,07.Jul,77,E,0,0,0,0,3787,35,195,0,10,52,3,F
48,04.Apr,78,E,4,0,6,9,6123,611,1221,16,146,130,15.779734,T
49,06.Jun,78,E,5,0,9,17,6123,611,1221,29,146,130,15.779734,T
50,08.Aug,79,E,0,0,1,2,4561,135,427,4,67,70,4.582576,F
51,08.Aug,81,E,0,0,0,0,7201,0,334,0,62,69,0,T
52,06.Jun,83,E,0,0,0,2,6456,163,356,2,18,68,0,F
53,07.Jul,85,E,0,0,0,0,2764,0,110,0,5,25,0,F
54,01.Jan,87,E,0,0,0,0,673,0,6,0,0,9,0,F
55,04.Apr,88,E,0,0,0,0,0,0,27,0,0,0,0,F
56,04.Apr,90,E,1,0,0,0,1449,0,153,0,13,34,0,T
57,07.Jul,91,E,0,0,0,1,2030,0,51,1,20,31,0,F
58,08.Aug,92,E,2,0,0,3,1904,147,163,11,60,25,7.416198,T
59,01.Jan,93,E,1,0,0,0,3533,135,246,0,44,49,0,F
60,04.Apr,94,N,0,8,0,0,1666,34,205,0,0,44,0,F
61,04.Apr,95,N,0,0,0,0,1118,18,155,0,0,40,0,T
62,09.Sep,96,N,0,0,0,0,334,0,17,0,0,7,0,F
63,07.Jul,97,N,0,0,1,2,58,0,0,3,0,0,0,F
64,08.Aug,98,N,0,0,0,0,756,0,0,0,0,15,0,F
65,03.Mar,103,W,0,0,1,1,579,51,73,2,4,13,0,F
66,01.Jan,104,N,0,0,1,1,1646,0,2,2,38,37,0,F
67,06.Jun,105,N,1,0,1,1,552,12,26,2,0,8,0,F
68,01.Jan,106,N,0,0,0,0,453,3,6,0,0,3,0,F
69,06.Jun,108,W,0,0,0,1,3085,205,273,1,14,103,9.643651,F
70,03.Mar,112,N,0,0,0,1,2469,0,282,1,30,38,0,F
