Turbine_ID,Temperature_Class_One_Week_Before,Average_Pressure_Score
1,1. Cold (under 7c),35.769231
2,4. Hot  (20c and over),24.769231
3,4. Hot  (20c and over),24.769231
4,1. Cold (under 7c),24.923077
5,1. Cold (under 7c),18.307692
6,2. Cool ( 7c - 14c),29.230769
7,1. Cold (under 7c),25.538462
8,2. Cool ( 7c - 14c),24.923077
9,3. (Warm 15c- 19c),15.846154
10,3. (Warm 15c- 19c),37.076923
11,1. Cold (under 7c),19.384615
12,1. Cold (under 7c),30.153846
13,1. Cold (under 7c),30.153846
14,2. Cool ( 7c - 14c),17.230769
15,1. Cold (under 7c),30.153846
16,3. (Warm 15c- 19c),15.846154
17,2. Cool ( 7c - 14c),9.846154
18,3. (Warm 15c- 19c),15.846154
19,1. Cold (under 7c),22.615385
20,1. Cold (under 7c),10.846154
21,1. Cold (under 7c),16.307692
22,1. Cold (under 7c),26.615385
23,4. Hot  (20c and over),12
24,2. Cool ( 7c - 14c),17.307692
25,2. Cool ( 7c - 14c),20.769231
26,2. Cool ( 7c - 14c),20.769231
27,1. Cold (under 7c),22.076923
28,1. Cold (under 7c),10.846154
29,1. Cold (under 7c),26.615385
30,4. Hot  (20c and over),14.307692
31,4. Hot  (20c and over),12
32,1. Cold (under 7c),36.307692
33,3. (Warm 15c- 19c),23.615385
34,2. Cool ( 7c - 14c),20.769231
35,1. Cold (under 7c),10.846154
36,1. Cold (under 7c),16.307692
37,3. (Warm 15c- 19c),23.615385
38,1. Cold (under 7c),28.461538
39,4. Hot  (20c and over),16.230769
40,3. (Warm 15c- 19c),23.615385
41,1. Cold (under 7c),36.307692
42,2. Cool ( 7c - 14c),15.461538
43,1. Cold (under 7c),16.076923
44,4. Hot  (20c and over),16.230769
45,1. Cold (under 7c),26.615385
46,3. (Warm 15c- 19c),23.615385
47,1. Cold (under 7c),10.615385
48,4. Hot  (20c and over),12
49,1. Cold (under 7c),11.153846
50,1. Cold (under 7c),16.076923
51,2. Cool ( 7c - 14c),20.769231
52,1. Cold (under 7c),11.615385
53,2. Cool ( 7c - 14c),20.230769
54,1. Cold (under 7c),22.076923
55,4. Hot  (20c and over),12
56,4. Hot  (20c and over),12
57,2. Cool ( 7c - 14c),20.230769
58,1. Cold (under 7c),16.076923
59,1. Cold (under 7c),22.076923
60,1. Cold (under 7c),30.153846
61,4. Hot  (20c and over),16
62,3. (Warm 15c- 19c),27.846154
63,2. Cool ( 7c - 14c),26.923077
64,2. Cool ( 7c - 14c),28.769231
65,4. Hot  (20c and over),23.769231
66,1. Cold (under 7c),42.692308
67,1. Cold (under 7c),17.384615
68,1. Cold (under 7c),42.692308
69,1. Cold (under 7c),20.846154
70,1. Cold (under 7c),26.307692
71,1. Cold (under 7c),29.692308
72,1. Cold (under 7c),14.538462
73,1. Cold (under 7c),25.076923
74,1. Cold (under 7c),35.769231
75,1. Cold (under 7c),30.153846
76,4. Hot  (20c and over),26.461538
77,1. Cold (under 7c),31.461538
78,1. Cold (under 7c),37.923077
79,1. Cold (under 7c),16.846154
80,1. Cold (under 7c),31.461538
81,1. Cold (under 7c),37.923077
82,4. Hot  (20c and over),23.769231
83,4. Hot  (20c and over),15.692308
84,3. (Warm 15c- 19c),31.769231
85,3. (Warm 15c- 19c),31.769231
86,3. (Warm 15c- 19c),17.769231
87,3. (Warm 15c- 19c),29.076923
88,1. Cold (under 7c),16.846154
89,3. (Warm 15c- 19c),26.461538
90,1. Cold (under 7c),14.769231
91,3. (Warm 15c- 19c),12.461538
92,1. Cold (under 7c),26.307692
93,4. Hot  (20c and over),15.692308
94,4. Hot  (20c and over),23.769231
95,1. Cold (under 7c),34.923077
96,1. Cold (under 7c),35.769231
97,3. (Warm 15c- 19c),14
98,4. Hot  (20c and over),13.230769
99,1. Cold (under 7c),17.384615
100,1. Cold (under 7c),26.307692
101,3. (Warm 15c- 19c),31.769231
102,3. (Warm 15c- 19c),14
103,1. Cold (under 7c),42.692308
104,4. Hot  (20c and over),30.846154
105,1. Cold (under 7c),28.230769
106,1. Cold (under 7c),17.384615
107,4. Hot  (20c and over),13.230769
108,1. Cold (under 7c),29.692308
109,1. Cold (under 7c),16.846154
110,1. Cold (under 7c),31.538462
111,1. Cold (under 7c),34.230769
112,4. Hot  (20c and over),13.230769
113,2. Cool ( 7c - 14c),26.923077
114,2. Cool ( 7c - 14c),26.923077
115,1. Cold (under 7c),17.384615
116,4. Hot  (20c and over),25.923077
117,2. Cool ( 7c - 14c),28.769231
118,1. Cold (under 7c),17.384615
119,1. Cold (under 7c),42.692308
120,1. Cold (under 7c),42.692308
121,2. Cool ( 7c - 14c),26.923077
122,4. Hot  (20c and over),13.230769
